IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,movie,2016,"USA, Hong Kong, China, Canada, Denmark, Germany, UK","Action, Adventure, Comedy, Sci-Fi",10 nominations.,Paramount Pictures,PG-13,40,6.0,"78,950"
tt4433646,Terra Formars,movie,2016,Japan,"Action, Horror, Sci-Fi",N/A,N/A,Not Rated,N/A,4.7,"1,603"
tt3385516,X-Men: Apocalypse,movie,2016,USA,"Action, Adventure, Sci-Fi",1 win & 14 nominations.,20th Century Fox,PG-13,52,6.9,"367,778"
tt5442456,24 Hours to Live,movie,2017,"South Africa, China, USA","Action, Sci-Fi, Thriller",N/A,Saban Films,R,37,5.7,"10,862"
tt2316204,Alien: Covenant,movie,2017,"USA, UK","Horror, Sci-Fi, Thriller",1 win & 12 nominations.,20th Century Fox,R,65,6.4,"233,704"
tt4731148,Attraction,movie,2017,Russia,"Drama, Romance, Sci-Fi",1 nomination.,N/A,R,N/A,5.5,"7,989"
tt1724970,Beyond Skyline,movie,2017,"UK, China, Canada, Indonesia, Singapore, USA","Action, Adventure, Horror, Sci-Fi, Thriller",N/A,Vertical Entertainment,R,46,5.3,"15,972"
tt1856101,Blade Runner 2049,movie,2017,"USA, UK, Hungary, Canada, Spain","Action, Drama, Mystery, Sci-Fi, Thriller",Won 2 Oscars. Another 81 wins & 131 nominations.,Warner Bros. Pictures,R,81,8.0,"398,240"
tt6574146,Blame!,movie,2017,Japan,"Animation, Action, Drama, Sci-Fi, Thriller",N/A,Netflix,TV-14,N/A,6.7,"5,952"
tt3722062,Bokeh,movie,2017,"USA, Iceland","Drama, Sci-Fi",1 nomination.,Screen Media Films,TV-MA,56,5.0,"6,254"
tt4287320,The Circle,movie,2017,"United Arab Emirates, USA","Drama, Sci-Fi, Thriller",1 win & 1 nomination.,EuropaCorp / STXfilms,PG-13,43,5.3,"75,444"
tt3469046,Despicable Me 3,movie,2017,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",25 nominations.,Universal Pictures,PG,49,6.3,"98,465"
tt1389072,Downsizing,movie,2017,"USA, Norway","Drama, Sci-Fi",Nominated for 1 Golden Globe. Another 1 win & 14 nominations.,Paramount Pictures,R,63,5.7,"82,618"
tt1981128,Geostorm,movie,2017,USA,"Action, Sci-Fi, Thriller",N/A,Warner Bros. Pictures,PG-13,21,5.3,"83,314"
tt1219827,Ghost in the Shell,movie,2017,"USA, India, Hong Kong, China, UK","Action, Drama, Sci-Fi, Thriller",2 wins & 6 nominations.,Paramount Pictures,PG-13,52,6.3,"181,970"
