IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt2358568,Shi to kanojo to boku,movie,2012,Japan,Romance,N/A,N/A,N/A,N/A,N/A,N/A
tt0092850,Deadtime Stories,movie,1986,USA,"Comedy, Horror",N/A,Continental Home Video,R,N/A,4.7,"1,346"
tt2521668,The Returned,series,2012–,France,"Drama, Fantasy, Horror, Mystery",3 wins & 4 nominations.,NA,TV-MA,N/A,8.2,"18,535"
tt2183641,Ripper Street,series,2012–2016,"UK, Ireland","Crime, Drama, Mystery",10 wins & 24 nominations.,NA,TV-MA,N/A,8.1,"17,990"
tt3038700,Cassandra: Warrior Angel,series,2013–,Philippines,Fantasy,N/A,NA,N/A,N/A,N/A,N/A
tt3120568,Darknet,series,2013–,Canada,"Horror, Thriller",1 win & 1 nomination.,NA,N/A,N/A,7.5,"1,931"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2480514,In the Flesh,series,2013–2014,UK,"Drama, Horror",4 wins & 4 nominations.,NA,N/A,N/A,8.0,"12,217"
tt2188671,Bates Motel,series,2013–2017,USA,"Drama, Horror, Mystery, Thriller",Nominated for 3 Primetime Emmys. Another 5 wins & 61 nominations.,NA,TV-MA,N/A,8.2,"89,690"
tt0212985,Hannibal,movie,2001,"USA, UK, Italy","Crime, Drama, Thriller",8 wins & 17 nominations.,MGM,R,57,6.8,"240,504"
tt4000116,Garo: Yami o Terasu Mono,series,2013–,Japan,Action,N/A,NA,N/A,N/A,6.6,10
tt2309295,Hemlock Grove,series,2013–2015,USA,"Horror, Mystery, Thriller",Nominated for 2 Primetime Emmys. Another 3 nominations.,NA,TV-MA,N/A,7.2,"34,914"
tt0162661,Sleepy Hollow,movie,1999,"USA, Germany","Fantasy, Horror, Mystery",Won 1 Oscar. Another 23 wins & 39 nominations.,Paramount Pictures,R,65,7.3,"310,057"
tt2632424,The Originals,series,2013–2018,USA,"Drama, Fantasy, Horror, Mystery",Nominated for 1 Primetime Emmy. Another 6 nominations.,NA,TV-14,N/A,8.2,"107,825"
tt2799012,Ravenswood,series,2013–2014,USA,"Drama, Horror",N/A,NA,N/A,N/A,6.5,"8,085"
tt1270767,Higanjima,movie,2009,"South Korea, Japan",Horror,1 nomination.,N/A,N/A,N/A,5.4,644
tt0021814,Dracula,movie,1931,USA,"Fantasy, Horror",3 wins & 3 nominations.,Universal Pictures,Passed,N/A,7.5,"42,233"
tt3358248,Pupipo!,series,2013–,Japan,Animation,N/A,NA,N/A,N/A,6.9,28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2788518,Spooksville,series,2013–2014,"Canada, USA","Action, Adventure, Fantasy",3 wins & 23 nominations.,NA,TV-PG,N/A,7.6,580
tt2365946,Bitten,series,2014–2016,Canada,"Drama, Fantasy, Horror, Mystery",1 win & 6 nominations.,NA,TV-MA,N/A,7.1,"14,869"
tt2674806,Inside No. 9,series,2014–,UK,"Comedy, Drama, Horror",3 wins & 1 nomination.,NA,TV-MA,N/A,8.4,"9,276"
tt3337194,From Dusk Till Dawn: The Series,series,2014–2016,USA,"Action, Crime, Horror",5 nominations.,NA,TV-MA,N/A,6.9,"17,918"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2758950,Helix,series,2014–2015,"USA, Canada","Drama, Horror, Mystery, Sci-Fi, Thriller",1 nomination.,NA,TV-PG,N/A,6.8,"27,558"
tt3990694,M3 the Dark Metal,series,2014,Japan,"Animation, Fantasy, Horror",N/A,NA,N/A,N/A,8.4,5
tt2963254,Salem,series,2014–2017,USA,"Drama, Fantasy, Horror, Thriller",14 nominations.,NA,TV-MA,N/A,7.1,"21,018"
tt3358020,Parasyte: The Maxim,series,2014–2015,Japan,"Animation, Action, Horror, Romance, Sci-Fi, Thriller",1 win & 3 nominations.,NA,TV-MA,N/A,8.4,"18,597"
tt2628232,Penny Dreadful,series,2014–2016,"Ireland, UK, USA","Drama, Fantasy, Horror",Nominated for 1 Golden Globe. Another 14 wins & 83 nominations.,NA,TV-MA,N/A,8.2,"103,624"
tt3185682,Pupa,series,2014–,Japan,"Animation, Short, Horror, Thriller",N/A,NA,N/A,N/A,2.8,302
tt4433646,Terra Formars,movie,2016,Japan,"Action, Horror, Sci-Fi",N/A,N/A,Not Rated,N/A,4.7,"1,603"
tt3741634,Tokyo Ghoul,series,2014,Japan,"Animation, Action, Drama, Fantasy, Horror, Thriller",1 win.,NA,TV-MA,N/A,7.9,"27,775"
tt2654620,The Strain,series,2014–2017,USA,"Drama, Horror, Thriller",2 wins & 26 nominations.,NA,TV-MA,N/A,7.3,"72,163"
tt4529820,In Search of Aliens,series,2014–,USA,Documentary,N/A,NA,N/A,N/A,7.3,371
