IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt2015312,Beyond the Heights,movie,1951,UK,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A
tt1351099,Bicycle Dreams,movie,2009,USA,"Documentary, Adventure, Sport",1 win.,N/A,N/A,N/A,7.4,88
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1093354,Big Dreamers,movie,2007,Australia,"Documentary, Comedy",1 win.,N/A,N/A,N/A,6.5,10
tt0303356,Biggie and Tupac,movie,2002,UK,"Documentary, Biography, Crime, Music",1 nomination.,Channel 4 Television,R,63,6.8,"4,351"
tt3508720,The Big Melt: How Steel Made Us Hard,movie,2013,UK,Documentary,N/A,N/A,N/A,N/A,6.9,23
tt0127462,The Big One: The Truth About the San Andreas,movie,1996,USA,N/A,1 win.,N/A,N/A,N/A,8.2,10
tt4853154,Bill Nye: Science Guy,movie,2017,USA,Documentary,N/A,PBS Distribution,Not Rated,73,6.0,882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0353244,Bitter Jester,movie,2003,USA,"Documentary, Adventure, Comedy",N/A,N/A,N/A,N/A,7.2,59
tt0297793,Black Chicks Talking,movie,2002,Australia,Documentary,2 wins & 1 nomination.,N/A,N/A,N/A,8.4,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0221023,Black Tar Heroin: The Dark End of the Street,movie,2000,USA,"Documentary, Biography",N/A,Farallon Films,N/A,N/A,8.0,918
tt2545118,Blackfish,movie,2013,USA,"Documentary, News",Nominated for 1 BAFTA Film Award. Another 6 wins & 38 nominations.,Magnolia Pictures,PG-13,83,8.1,"57,461"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0303307,Blue Vinyl,movie,2002,USA,Documentary,4 wins & 1 nomination.,Docurama,Not Rated,N/A,6.7,291
tt1068634,Body of War,movie,2007,USA,"Documentary, War",2 wins & 3 nominations.,Phil Donahue Enterprises,UNRATED,60,7.9,510
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1444679,Bomb Harvest,movie,2007,Australia,Documentary,N/A,N/A,N/A,N/A,8.1,42
tt5501104,Border,movie,2018,"Sweden, Denmark","Crime, Drama, Fantasy, Romance, Thriller",N/A,N/A,R,75,7.0,"16,233"
tt0814034,Born in the USSR: 21 Up,movie,2005,UK,Documentary,1 win & 2 nominations.,N/A,N/A,N/A,8.2,136
tt0388789,Born Into Brothels: Calcutta's Red Light Kids,movie,2004,USA,"Documentary, Biography, News",Won 1 Oscar. Another 20 wins & 5 nominations.,Think Film,R,78,7.2,"15,198"
tt0342143,Born Rich,movie,2003,USA,Documentary,N/A,Virgil Films,N/A,N/A,6.5,"1,686"
tt0286520,"Bougainville: Our Island, Our Fight",movie,1998,Australia,Documentary,2 wins.,N/A,N/A,N/A,8.4,22
tt0310793,Bowling for Columbine,movie,2002,"USA, Canada, Germany","Documentary, Crime, Drama",Won 1 Oscar. Another 40 wins & 12 nominations.,United Artists Films,R,72,7.9,"135,872"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0389817,Breaking the Silence: Truth and Lies in the War on Terror,movie,2003,"UK, Australia",Documentary,1 nomination.,N/A,N/A,N/A,8.2,235
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0459242,Crossing the Bridge: The Sound of Istanbul,movie,2005,"Germany, Turkey","Documentary, Music",1 win & 2 nominations.,Strand Releasing,N/A,73,7.9,"5,787"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt5651050,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,movie,2016,USA,Documentary,Nominated for 2 Primetime Emmys. Another 1 win & 4 nominations.,HBO Films,TV-14,78,8.0,"2,971"
tt0088855,Bring on the Night,movie,1985,USA,"Documentary, Music",1 win.,Lorimar Home Video,PG-13,N/A,7.6,487
tt1306958,Britney: For the Record,movie,2008,USA,"Documentary, Music",N/A,@radical.media,N/A,N/A,7.7,798
tt0392475,Broken Branches,movie,1996,South Korea,Drama,N/A,N/A,N/A,N/A,6.7,9
tt0082106,Brooklyn Bridge,movie,1981,USA,"Documentary, History",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,N/A,TV-G,N/A,7.6,612
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
