"Avengers: United They Stand, The ",,
Back to the Future: The Animated Series ,,
Batman ,,
"Batman/Superman Hour, The ",,
"Adventures of Batman and Robin the Boy Wonder, The ",,
"New Adventures of Batman, The ",,
Batman: The Animated Series ,,
"New Batman Adventures, The a.k.a. TNBA ",,
Batman Beyond ,,
"Batman, The ",,
Batman: The Brave and the Bold ,,
Beware the Batman ,,
BattleTech: The Animated Series ,,
Battletoads ,,
Ben 10: Secret of the Omnitrix ,,
Ben 10: Race Against Time ,,
Ben 10: Alien Force ,,
Ben 10: Alien Swarm ,,
Ben 10: Ultimate Alien ,,
Ben 10: Destroy All Aliens a.k.a. Ben 10: Alien Dimensions ,,
Ben 10: Omniverse ,,
Big Bad Beetleborgs a.k.a. Beetleborgs Metallix ,,
"Big Guy and Rusty the Boy Robot, The ",,
"Big O, The ",,
Biker Mice from Mars ,,
Bill & Ted's Excellent Adventures ,,
Bionic Six ,,
Birdman and the Galaxy Trio ,,
Black Panther ,,
Blue Comet SPT Layzner ,,
Bodacious Space Pirates ,,
"Boy from Andromeda, The ",,
Brats of the Lost Nebula ,,
BraveStarr ,,
Bucky O'Hare and the Toad Wars ,,
Bureau of Alien Detectors ,,
C.O.P.S. ,,
Cadillacs and Dinosaurs ,,
Captain Future a.k.a. Capitaine Flam ,,
Captain Harlock ,,
Space Pirate Captain Harlock ,,
Galaxy Express 999 ,,
Space Symphony Maetel ,,
Space Pirate Captain Herlock: The Endless Odyssey ,,
Harlock Saga ,,
Arcadia of My Youth: Endless Orbit SSX ,,
Queen Emeraldas ,,
Captain Harlock and the Queen of a Thousand Years ,,
Queen Millennia ,,
Captain Power and the Soldiers of the Future ,,
Captain Simian & the Space Monkeys ,,
Captain Z-Ro ,,
Captain Zep – Space Detective ,,
Cars Toons: Mater's Tall Tales ,,
Casshern ,,
Casshern Sins ,,
Neo-Human Casshern ,,
"Centurions, The ",,
Century Falls ,,
Children of the Dog Star ,,
Children of the Stones ,,
Chocky ,,
Clangers ,,
Cobra ,,
Space Cobra ,,
Cobra the Animation: Rokunin no Yushi ,,
Code Lyoko ,,
Garage Kids ,,
Code Lyoko: Evolution ,,
Combat Mecha Xabungle ,,
Cosmic Quantum Ray ,,
Cosmo Warrior Zero ,,
Crash – Truslen fra det sorte hul a.k.a. Crash – The Menace from the Black Hole ,,
Crest of the Stars Trilogy ,,
Crest of the Stars ,,
Banner of the Stars ,,
Banner of the Stars II ,,
Cubix ,,
Cybersix ,,
Cyborg 009 ,,
D.Gray-man ,,
Dan Dare: Pilot of the Future ,,
Danball Senki ,,
Danball Senki a.k.a. Cardboard Chronicles ,,
Danball Senki W ,,
Danball Senki Wars ,,
Dark Season ,,
Darkstalkers ,,
Darkwing Duck ,,
DC Nation Shorts ,Arabic) ,"1978–1979, Japan, animated)"
Defenders of the Earth ,,
Delilah and Julius ,,
Dex Hamilton: Alien Entomologist ,,
Dexter's Laboratory ,,
Dexter's Laboratory a.k.a. Dexter's Lab ,,
Dial M for Monkey ,,
"Justice Friends, The ",,
Di-Gata Defenders ,,
"Dick Spanner, P.I. ",,
Dino-Riders ,,
Dinosapien ,,
Dinosaucers ,,
Dinosaur King ,,
Dinosaur King a.k.a. Ancient Ruler Dinosaur King DKidz Adventure ,,
Ancient Ruler Dinosaur King DKidz Adventure: Pterosaur Legend ,,
Dinosaur War Izenborg ,,
Dino Squad ,,
Disney's Fluppy Dogs ,,
"Disneyland a.k.a. Wonderful World of Disney, The ",,
Dirty Pair ,,
Doom Runners ,,
Doraemon ,,
Dr. Slump ,,
Dr. Slump – Arale-chan ,,
Doctor Slump ,,
Dragon Ball ,,
Dragon Ball Z a.k.a. DBZ ,,
Dragon Ball Z: Bardock – The Father of Goku ,,
Dragon Ball Z: The History of Trunks ,,
Dragon Ball GT a.k.a. Dragon Ball G,,
Dragon Ball GT: A Hero's Legacy ,,
Dragon Ball Z Kai ,,
Dragon Booster ,,
Dragon Drive ,,
Dragon Flyz ,,
Duck Dodgers ,,
Duck Dodgers in the 24½th Century ,,
Duck Dodgers and the Return of the 24½th Century ,,
"Eerie, Indiana ",,
"Eerie, Indiana: The Other Dimension ",,
Emerald Soup ,,
Eon Kid a.k.a. Iron Kid ,,
Escape from Jupiter ,,
Evil Con Carne ,,
Exosquad ,,
Extreme Dinosaurs ,,
"Fairly OddParents, The ",,
"Fairly OddParents: Abra-Catastrophe!, The ",,
Channel Chasers ,,
School's Out! The Musical ,,
Fairy Idol ,,
Fairly OddBaby ,,
"Fairly OddParents: Wishology, The ",,
"A Fairly Odd Movie: Grow Up, Timmy Turner! ",,
Fang of the Sun Dougram ,,
Fantastic Four ,,
Fantastic Four: World's Greatest Heroes ,,
Fantastic Max ,,
Fantastic Voyage ,,
Far Out Space Nuts ,,
Final Fantasy ,,
Final Fantasy: Unlimited ,,
Fireball ,,
Fireball Charming ,,
Fireball XL5 ,,
Firebreather ,,
Firestorm ,,
Flash Gordon ,,
"New Adventures of Flash Gordon, The a.k.a. Adventures of Flash Gordon, The a.k.a. Flash Gordon ",,
Flash Gordon: The Greatest Adventure of All ,,
"Flash Gordon a.k.a. The Adventures of Flash Gordon, The ",,
"Freedom Force, The ",,
Freaky ,,
