Title
30 Days of Night: Dark Days
2001 Maniacs: Field of Screams
Alice in Murderland
Bereavement
Black Swan
Blood Junkie
Chain Letter
The Crazies
Dahmer Vs. Gacy
Dead Exit
The Frankenstein Syndrome
Frozen
Hard Ride to Hell
Hatchet II
I Am Virgin
I Spit on Your Grave
Insidious
L.A. Zombie
The Last Exorcism
Mongolian Death Worm
My Soul to Take
A Nightmare on Elm Street
Paranormal Activity 2
Piranha 3-D
The Presence
Puppet Master: Axis of Evil
The Rig
Satan Hates You
Saw 3D
Shelter
Stake Land
The Tenant
Thankskilling
Tucker & Dale vs Evil
The Ward
The Wolfman

Absentia
The Afflicted
All Superheroes Must Die
Apollo 18
Bag of Bones
Bloody Bloody Bible Camp
Chillerama
Dear God No!
Detention
Don't Be Afraid of the Dark
Drive Angry
Dylan Dog: Dead of Night
Exit 33
Final Destination 5
Fright Night
Hellraiser: Revelations
Hostel: Part III
I Was a Teenage Werebear
The Innkeepers
Paranormal Activity 3
Quarantine 2: Terminal
Red Riding Hood
Red State
Scream 4
Shark Night 3D
Stitched
The Task
The Thing
Twixt
The Wicker Tree
The Woman
You're Next
2-Headed Shark Attack
41255
The ABCs of Death
The Amazing Adventures of the Living Corpse
Awake in the Woods
The Battery
The Bay
Bigfoot: The Lost Coast Tapes
Bloody Bloody Bible Camp
The Cabin in the Woods
Chernobyl Diaries
The Collection
Cross Bearer
Dark Shadows
The Devil Inside
Evil Head
Excision
Foodfight!
Foreclosure
Found
Frankenweenie
Grave Encounters 2
John Dies at the End
Killer Kart
The Lords of Salem
Lovely Molly
No One Lives
The Pact
Paranormal Activity 4
Piranha 3DD
The Possession
Prometheus
Scary or Die
Silent House
Silent Night
Sinister
Smiley
ThanksKilling 3
Underworld: Awakening
V/H/S
Alpha Girls
Avenged
Axeman
Bad Milo!
Carrie
Curse of Chucky
The Conjuring
Dark Skies
The Demon's Rook
Evil Dead
Fright Night 2: New Blood
Hatchet III
The Haunting in Connecticut 2: Ghosts of Georgia
I Spit on Your Grave 2
Jug Face
The Last Exorcism Part II
Phantom Of The Woods
Texas Chainsaw 3D
V/H/S/2
We Are What We Are
Willow Creek
World War Z
ABCs of Death 2
Annabelle
Army of Frankensteins
"As Above, So Below"
Bag Boy Lover Boy
The Butchers
Cabin Fever: Patient Zero
The Cabining
Creep
Deliver Us from Evil
Devil's Due
"I, Frankenstein"
Jessabelle
Life After Beth
Oculus
Paranormal Activity: The Marked Ones
The Purge: Anarchy
See No Evil 2
Sharknado 2: The Second One
Slit
Stage Fright
Strange Blood
TEN
Through the Devil's Eyes
The Town That Dreaded Sundown
Tusk
Zombeavers
The Abandoned
The Atticus Institute
Bound to Vengeance
"Bullets, Fangs and Dinner at 8"
Crimson Peak
Dead Rising: Watchtower
Demonic
The Final Girls
The Gallows
The Gift
Goosebumps
Insidious: Chapter 3
The Invitation
Krampus
Krampus: The Reckoning
The Lazarus Effect
Maggie
Paranormal Activity: The Ghost Dimension
Poltergeist
Rorschach
Scouts Guide to the Zombie Apocalypse
Sharknado 3: Oh Hell No!
Sinister 2
Tremors 5: Bloodlines
The Visit
Volumes of Blood
We Are Still Here
The Witch
Antibirth
The Autopsy of Jane Doe
The Belko Experiment
Blair Witch
Blood of the Tribades
The Boy
The Blackout Experiments
Cabin Fever
Cell
The Conjuring 2
The Darkness
Dead 7
The Devil's Dolls
Don't Breathe
Don't Kill It
The Eyes of My Mother
Split
Fender Bender
The Forest
Holidays
Home
Hush
Krampus Unleashed
Lights Out
The Love Witch
Martyrs
Morgan
Ouija: Origin of Evil
Phantasm: Ravager
Pride and Prejudice and Zombies
The Purge: Election Year
"Sweet, Sweet Lonely Girl"
The Veil
Volumes of Blood: Horror Stories
Aliens: Zone of Silence
Amityville: The Awakening
Annabelle: Creation
The Belko Experiment
The Bye Bye Man
Creep 2
Cult of Chucky
The Evil Within
Flatliners
Happy Death Day
Get Out
It
Jackals
Jeepers Creepers 3
Jigsaw
Kuso
Leatherface
Little Evil
Mother!
Phoenix Forgotten
Rings
Romeo's Distress
Sharknado 5: Global Swarming
Underworld: Blood Wars
Unlisted Owner
Wish Upon
XX
American Exorcist
Annihilation
Bad Samaritan
Boarding School
Cam
Children of the Corn: Runaway
The Cloverfield Paradox
Day of the Dead: Bloodline
Delirium
The First Purge
Goosebumps 2: Haunted Halloween
Halloween
Hellraiser: Judgment
Hereditary
Insidious: The Last Key
Mandy
