Title
Altitude
Alien vs Ninja
Arctic Blast
Batman: Under the Red Hood
Beyond the Black Rainbow
The Book of Eli
The Crazies
Daybreakers
Denizen
Despicable Me
The Disappearance of Haruhi Suzumiya
Downstream
Enthiran
Future X-Cops
Growth
Hot Tub Time Machine
Hunter Prey
Inception
Iron Man 2
Justice League: Crisis on Two Earths
Kaboom
Die kommenden Tage
Mardock Scramble: The First Compression
Megamind
Monsters
Mutant Girls Squad
Never Let Me Go
Predators
Repo Men
Resident Evil: Afterlife
Shank
Skyline
Space Battleship Yamato
Superman/Batman: Apocalypse
Tron: Legacy
Universal Soldier: Regeneration
Womb
7aum Arivu
The Adjustment Bureau
All-Star Superman
All Superheroes Must Die
Another Earth
Apollo 18
Area Q
Atlas Shrugged: Part I
Attack the Block
Battle: Los Angeles
Captain America: The First Avenger
Cowboys & Aliens
The Darkest Hour
Dear God No!
Eva
Extraterrestre
Gantz
Gantz: Perfect Answer
Generation P
Green Lantern
Green Lantern: Emerald Knights
Hell
O Homem do Futuroÿ(The Man from the Future)
I Am Number Four
In Time
Limitless
Love
Mardock Scramble: The Second Combustion
Mars Needs Moms
Melancholia
Paul
Phase 7
Priest
The Prodigies
Ra.One
Real Steel
Rise of the Planet of the Apes
Source Code
Super 8
The Thing
Thor
Transformers: Dark of the Moon
X-Men: First Class
2012
009 Re:Cyborg
Alien Origin
The Amazing Spider-Man
The Avengers
Batman: The Dark Knight Returns Part 1
Battleship
Branded
Chronicle
Cloud Atlas
Dredd
The Divide
Grabbers
The Hunger Games
Iron Sky
John Carter
Justice League: Doom
Lockout
Looper
Mardock Scramble: The Third Exhaust
Mars et Avril
Men in Black 3
Prometheus
Resident Evil: Retribution
Robot & Frank
Safety Not Guaranteed
Seeking a Friend for the End of the World
Strange Frame
Starship Troopers: Invasion
Storage 24
Superman vs. The Elite
Total Recall
Thermae Romae
Upside Down
The Watch
After Earth
The A.R.K. Report
Batman: The Dark Knight Returns Part 2
The Colony
The Congress
The Cosmonaut
Dark Skies
Despicable Me 2
Dick Figures: The Movie
Elysium
Escape from Planet Earth
Europa Report
Ender's Game
Frankenstein's Army
Frequencies
G.I. Joe: Retaliation
Gatchaman
Gravity
Hard to Be a God
Her
The Hunger Games: Catching Fire
Independence Daysaster
The Host
Iron Man 3
Krrish 3
Justice League: The Flashpoint Paradox
The Last Days
The Last Days on Mars
The Machine
Man of Steel
Oblivion
Pacific Rim
The Purge
Riddick
Snowpiercer
Space Pirate Captain Harlock
Star Trek Into Darkness
Superman Unbound
Thor: The Dark World
The Wolverine
World War Z
The World's End
Young Ones
The Zero Theorem
The Amazing Spider-Man 2
The Anomaly
Armor Hero Atlas
Army of Frankensteins
Automata
Beyond
Big Hero 6
Black Butler
Bodacious Space Pirates: Abyss of Hyperspace
Bugs
Calculator
Captain America: The Winter Soldier
Christmas Icetastrophe
Coherence
Dawn of the Planet of the Apes
The Device
Divergent
Earth to Echo
Edge of Tomorrow
Ejecta
Expelled from Paradise
The Giver
Die Gstettensaga: The Rise of Echsenfriedl
Godzilla
Guardians of the Galaxy
The Hunger Games: Mockingjay ? Part 1
Interstellar
Justice League: War
Lucy
The Maze Runner
Outpost 37
Mr. Peabody & Sherman
Parasyte: Part 1
Predestination
The Purge: Anarchy
The Quiet Hour
RoboCop
The Signal
Son of Batman
Space Station 76
Teenage Mutant Ninja Turtles
Time Lapse
Transcendence
Transformers: Age of Extinction
Space Battleship Yamato 2199: Odyssey of the Celestial Ark
Space Battleship Yamato 2199: A Voyage to Remember
Spring
Under the Skin
X-Men: Days of Future Past
Aliens: Zone-X
Ant-Man
Avengers: Age of Ultron
Chappie
The Divergent Series: Insurgent
The End of the World and the Cat's Disappearance
Equals
Ex Machina
Fantastic Four
Ghost in the Shell: The New Movie
Hardcore Henry
The Hunger Games: Mockingjay ? Part 2
Infini
Jupiter Ascending
Jurassic World
Kung Fury
Mad Max: Fury Road
The Martian
Maze Runner: The Scorch Trials
Monsters: Dark Continent
On Line
Pixels
Project Almanac
Psycho-Pass: The Movie
Self/less
Star Wars: The Force Awakens
Terminator Genisys
Tomorrowland
Vice
The 5th Wave
10 Cloverfield Lane
24
Approaching the Unknown
Arrival
Batman v Superman: Dawn of Justice
Captain America: Civil War
Cell
Colossal
The Divergent Series: Allegiant
Doctor Strange
The Girl with All the Gifts
Independence Day: Resurgence
Kill Command
Max Steel
Midnight Special
Morgan
The Purge: Election Year
Passengers
Ratchet & Clank
Rogue One
Rupture
Shin Godzilla
Spectral
Star Trek Beyond
Teenage Mutant Ninja Turtles: Out of the Shadows
Terra Formars
X-Men: Apocalypse
24 Hours to Live
Alien: Covenant
Attraction
Beyond Skyline
Blade Runner 2049
Blame!
Bokeh
The Circle
Despicable Me 3
Downsizing
Geostorm
Ghost in the Shell
Godzilla: Planet of the Monsters
Guardians of the Galaxy Vol. 2
How to Talk to Girls at Parties
Kill Switch
Justice League
The Last Scout
Life
Logan
The Man with the Magic Box
OtherLife
